"sample_id","timepoint","diet_code","hydro_group","diet_time","taxon_plot","rel_abundance","sample_index"
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio",1,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Unclassified Mycoplasmataceae genus",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Delftia",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Cetobacterium",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Candidatus Hamiltonella",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Buchnera",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Others",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroides",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Blautia",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Lactococcus",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Cutibacterium",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Streptococcus",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Acinetobacter",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Pseudomonas",0,1
"X1.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Chloroplast",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrio",0.0157425018288222,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Unclassified Mycoplasmataceae genus",0.982414045354792,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Delftia",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Cetobacterium",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Photobacterium",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Candidatus Hamiltonella",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Buchnera",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Others",0.00121433796634967,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroides",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Blautia",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Lactococcus",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Cutibacterium",0.000629114850036577,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Streptococcus",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Acinetobacter",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Pseudomonas",0,1
"X1.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Chloroplast",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Vibrio",0.0581766246131873,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Unclassified Mycoplasmataceae genus",0.940966436562723,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Delftia",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Cetobacterium",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Photobacterium",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Candidatus Hamiltonella",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Buchnera",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Others",0.000547488693168293,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroides",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Blautia",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Lactococcus",0.000166626993572959,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Cutibacterium",7.14115686741252e-05,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Streptococcus",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Acinetobacter",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Pseudomonas",0,1
"X1.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Chloroplast",7.14115686741252e-05,1
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio",0.996022693162034,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Unclassified Mycoplasmataceae genus",0.0036471153268896,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Delftia",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Cetobacterium",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Candidatus Hamiltonella",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Buchnera",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Others",0.000255147985831782,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroides",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Blautia",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Lactococcus",7.50435252446419e-05,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Cutibacterium",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Streptococcus",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Acinetobacter",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Pseudomonas",0,2
"X1.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Chloroplast",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrio",0.988741520704667,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Unclassified Mycoplasmataceae genus",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Delftia",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Cetobacterium",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Photobacterium",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Candidatus Hamiltonella",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Buchnera",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Others",0.00459653741014478,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroides",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Blautia",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Lactococcus",0,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Cutibacterium",0.00157942695150349,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Streptococcus",0.0011541966184064,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Acinetobacter",0.00200465728460059,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Pseudomonas",0.00192366103067733,2
"X1.2t7","D07","Ctrl","Ctrl","Ctrl_D07","Chloroplast",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Vibrio",0.944923559388475,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Unclassified Mycoplasmataceae genus",0.0550229856384306,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Delftia",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Cetobacterium",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Photobacterium",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Candidatus Hamiltonella",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Buchnera",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Others",5.34549730943302e-05,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroides",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Blautia",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Lactococcus",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Cutibacterium",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Streptococcus",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Acinetobacter",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Pseudomonas",0,2
"X1.2t90","D90","Ctrl","Ctrl","Ctrl_D90","Chloroplast",0,2
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio",0.993257233873109,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Unclassified Mycoplasmataceae genus",0.00403504114680117,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Delftia",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Cetobacterium",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Candidatus Hamiltonella",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Buchnera",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Others",0.000973365188921334,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroides",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Blautia",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Lactococcus",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Cutibacterium",0.00173435979116892,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Streptococcus",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Acinetobacter",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Pseudomonas",0,3
"X1.3t30","D30","Ctrl","Ctrl","Ctrl_D30","Chloroplast",0,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrio",0.0577009834882252,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Unclassified Mycoplasmataceae genus",0,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Delftia",0.165929802400072,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Cetobacterium",0.00315798971397636,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Photobacterium",0,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Candidatus Hamiltonella",0.129703148966886,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Buchnera",0.0716412523684923,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Others",0.292565189930524,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroides",0.0824686456735541,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Blautia",0.0567535865740323,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Lactococcus",0,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Cutibacterium",0.00518812595867545,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Streptococcus",0.0148425516556889,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Acinetobacter",0.000451141387710909,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Pseudomonas",0.116980961833439,3
"X1.3t7","D07","Ctrl","Ctrl","Ctrl_D07","Chloroplast",0.00261662004872327,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Vibrio",0.000966578683222425,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Unclassified Mycoplasmataceae genus",0.998754600542771,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Delftia",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Cetobacterium",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Photobacterium",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Candidatus Hamiltonella",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Buchnera",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Others",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroides",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Blautia",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Lactococcus",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Cutibacterium",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Streptococcus",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Acinetobacter",0.000278820774006469,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Pseudomonas",0,3
"X1.3t90","D90","Ctrl","Ctrl","Ctrl_D90","Chloroplast",0,3
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio",0.998713245885268,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Unclassified Mycoplasmataceae genus",0.000537747988246365,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Delftia",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Cetobacterium",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Candidatus Hamiltonella",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Buchnera",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Others",0.000460926847068313,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroides",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Blautia",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Lactococcus",0.000288079279417696,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Cutibacterium",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Streptococcus",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Acinetobacter",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Pseudomonas",0,4
"X1.4t30","D30","Ctrl","Ctrl","Ctrl_D30","Chloroplast",0,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrio",0.01013664374386,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Unclassified Mycoplasmataceae genus",0.000245601500401893,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Delftia",0.755961418237028,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Cetobacterium",0,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Photobacterium",0,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Candidatus Hamiltonella",0.0102259533803697,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Buchnera",0.00969009556131106,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Others",0.0968786282039832,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroides",0.0114986157006341,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Blautia",0.0128605876574082,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Lactococcus",0,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Cutibacterium",0.0102706081986246,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Streptococcus",0.0171251228007502,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Acinetobacter",0.0389836563365187,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Pseudomonas",0.0261230686791105,4
"X1.4t7","D07","Ctrl","Ctrl","Ctrl_D07","Chloroplast",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Vibrio",0.954652900893385,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Unclassified Mycoplasmataceae genus",0.0442347133868669,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Delftia",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Cetobacterium",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Photobacterium",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Candidatus Hamiltonella",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Buchnera",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Others",0.000295477456808148,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroides",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Blautia",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Lactococcus",0.000434525671776689,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Cutibacterium",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Streptococcus",0.000382382591163486,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Acinetobacter",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Pseudomonas",0,4
"X1.4t90","D90","Ctrl","Ctrl","Ctrl_D90","Chloroplast",0,4
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio",0.999129109514478,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Unclassified Mycoplasmataceae genus",0,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Delftia",0,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Cetobacterium",0.000108861310690181,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium",0,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Candidatus Hamiltonella",0,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Buchnera",0,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Others",3.11032316257659e-05,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroides",0,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Blautia",0,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Lactococcus",0,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Cutibacterium",0.000668719479953967,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Streptococcus",6.22064632515318e-05,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Acinetobacter",0,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Pseudomonas",0,5
"X1.5t30","D30","Ctrl","Ctrl","Ctrl_D30","Chloroplast",0,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrio",0.0126510738196679,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Unclassified Mycoplasmataceae genus",0,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Delftia",0.410486044691766,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Cetobacterium",0,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Photobacterium",0,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Candidatus Hamiltonella",0.00534736109903487,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Buchnera",0.00130423441439875,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Others",0.32301538996609,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroides",0.00995565602991044,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Blautia",0.0629945222154595,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Lactococcus",0,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Cutibacterium",0.0263020606903748,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Streptococcus",0.00382575428223633,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Acinetobacter",0.00347795843839666,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Pseudomonas",0.140639944352665,5
"X1.5t7","D07","Ctrl","Ctrl","Ctrl_D07","Chloroplast",0,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Vibrio",0.921211479402732,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Unclassified Mycoplasmataceae genus",0.0787885205972678,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Delftia",0,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Cetobacterium",0,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Photobacterium",0,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Candidatus Hamiltonella",0,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Buchnera",0,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Others",0,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroides",0,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Blautia",0,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Lactococcus",0,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Cutibacterium",0,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Streptococcus",0,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Acinetobacter",0,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Pseudomonas",0,5
"X1.5t90","D90","Ctrl","Ctrl","Ctrl_D90","Chloroplast",0,5
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio",0.972089730213147,6
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Unclassified Mycoplasmataceae genus",0,6
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Delftia",0,6
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Cetobacterium",0,6
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium",0,6
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Candidatus Hamiltonella",0,6
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Buchnera",0,6
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Others",0.0162095692353555,6
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroides",0,6
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Blautia",0,6
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Lactococcus",0.0072477269339693,6
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Cutibacterium",0.000111790132657624,6
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Streptococcus",0.00434118348487107,6
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Acinetobacter",0,6
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Pseudomonas",0,6
"X2.1t30","D30","Ctrl","Ctrl","Ctrl_D30","Chloroplast",0,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Vibrio",0.0143281425589982,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Unclassified Mycoplasmataceae genus",0.000481618237277252,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Delftia",0.306710547439396,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Cetobacterium",0,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Photobacterium",0,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Candidatus Hamiltonella",0.200192647294911,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Buchnera",0.109728688393,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Others",0.167924225397335,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Bacteroides",0.0636538770268101,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Blautia",0.0256461711350136,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Lactococcus",0,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Cutibacterium",0.00549847487558196,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Streptococcus",0.0115989725477605,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Acinetobacter",0.0468775084283192,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Pseudomonas",0.0436265853266977,6
"X2.1t7","D07","Ctrl","Ctrl","Ctrl_D07","Chloroplast",0.0037325413388987,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Vibrio",0.00275215065861215,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Unclassified Mycoplasmataceae genus",0.028629290499022,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Delftia",0,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Cetobacterium",0.968618558842366,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Photobacterium",0,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Candidatus Hamiltonella",0,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Buchnera",0,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Others",0,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Bacteroides",0,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Blautia",0,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Lactococcus",0,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Cutibacterium",0,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Streptococcus",0,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Acinetobacter",0,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Pseudomonas",0,6
"X2.1t90","D90","Ctrl","Ctrl","Ctrl_D90","Chloroplast",0,6
"X2.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Vibrio",1,7
"X2.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Unclassified Mycoplasmataceae genus",0,7
"X2.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Delftia",0,7
"X2.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Cetobacterium",0,7
"X2.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Photobacterium",0,7
"X2.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Candidatus Hamiltonella",0,7
"X2.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Buchnera",0,7
"X2.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Others",0,7
"X2.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Bacteroides",0,7
"X2.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Blautia",0,7
"X2.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Lactococcus",0,7
"X2.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Cutibacterium",0,7
"X2.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Streptococcus",0,7
"X2.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Acinetobacter",0,7
"X2.2t30","D30","Ctrl","Ctrl","Ctrl_D30","Pseudomonas",0,7
